Format Version,1.25,Take Name,Take 2026-04-10 07.17.20 PM,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2026-04-10 07.17.20.324 ,Capture Start Frame,571468,Total Frames in Take,1452,Total Exported Frames,1452,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
15,0.062500,0.650464,-0.387018,-0.421777,-0.499217,746.390381,318.247833,2386.271484,762.312622,261.006256,2337.878174,737.048279,297.864594,2448.187256,730.557068,364.176880,2440.217285,755.643677,349.943695,2318.803223,762.387695,261.173492,2337.202881,737.032959,297.915009,2448.411133,730.486206,364.365814,2440.305420,755.682373,349.528473,2318.990723,716.673035,446.361176,2361.419922,745.401978,226.287872,2395.094238,685.898682,722.151306,2317.996338,709.615662,498.795929,2354.389404,,,
16,0.066667,0.650483,-0.387126,-0.421794,-0.499095,746.305176,318.228455,2386.078857,762.217041,260.974487,2337.696777,736.975708,297.860992,2448.001953,730.483276,364.171295,2440.016113,755.544678,349.907166,2318.600586,762.273560,261.172302,2337.028320,736.970337,297.908966,2448.250732,730.406555,364.346649,2440.081055,755.595398,349.476837,2318.793213,716.600037,446.296509,2361.229004,745.449097,226.239197,2394.941895,685.638184,722.096863,2317.611572,709.534668,498.722290,2354.112793,,,
17,0.070833,0.650639,-0.387105,-0.421675,-0.499009,746.235535,318.189453,2385.901611,762.164856,260.920532,2337.542969,736.893372,297.842255,2447.829346,730.396118,364.149139,2439.819336,755.487976,349.845917,2318.415039,762.245361,261.123535,2336.882324,736.855652,297.900909,2448.111572,730.347168,364.298492,2439.879883,755.522095,349.431885,2318.577881,716.478088,446.260925,2360.998047,745.409424,226.202972,2394.789795,685.413147,722.020142,2317.235352,709.460144,498.653534,2353.805176,,,
18,0.075000,0.650402,-0.387569,-0.421530,-0.499079,746.125366,318.155579,2385.691650,761.977661,260.862427,2337.336426,736.789001,297.828552,2447.626709,730.354004,364.140411,2439.607910,755.380737,349.791046,2318.195312,761.973755,261.117371,2336.756592,736.820312,297.864685,2447.931152,730.254333,364.270020,2439.633789,755.472046,349.365570,2318.342773,716.348694,446.224060,2360.744385,745.390930,226.163605,2394.652100,685.211792,721.947937,2316.842285,709.339294,498.608948,2353.536865,,,
19,0.079167,0.650668,-0.387743,-0.420646,-0.499342,746.126099,318.033875,2385.483398,761.981812,260.686401,2337.193848,736.679993,297.764221,2447.420898,730.330872,364.077179,2439.343018,755.511841,349.607819,2317.976562,761.956360,260.932678,2336.529785,736.743347,297.829254,2447.736084,730.191406,364.212646,2439.395264,755.631897,349.163055,2318.130859,716.418213,446.041534,2360.461670,745.383606,226.125977,2394.510742,685.053223,721.872070,2316.493652,709.161499,498.558105,2353.247070,,,
20,0.083333,0.650872,-0.387641,-0.420658,-0.499147,746.068970,317.994629,2385.281006,761.956543,260.637085,2337.013916,736.625671,297.742950,2447.224609,730.246399,364.050049,2439.122314,755.447144,349.548553,2317.763672,761.901062,260.897217,2336.330078,736.718018,297.809875,2447.578369,730.081848,364.178833,2439.157959,755.592468,349.101410,2317.918213,716.349243,445.985077,2360.174805,745.363831,226.084122,2394.350098,684.938599,721.772522,2316.121338,709.030884,498.507233,2352.979736,,,
21,0.087500,0.651107,-0.387568,-0.420456,-0.499066,746.029053,317.929657,2385.075684,761.947571,260.553375,2336.840820,736.559570,297.703583,2447.023682,730.174683,364.006226,2438.888916,755.434509,349.455505,2317.548828,761.863098,260.813019,2336.154541,736.682983,297.774872,2447.399170,729.986816,364.126770,2438.900635,755.600159,349.014709,2317.720459,716.292419,445.917236,2359.881104,745.321106,226.036255,2394.182373,684.782043,721.679626,2315.736816,708.882141,498.452454,2352.674072,,,
22,0.091667,0.651516,-0.387353,-0.420224,-0.498895,745.971313,317.880005,2384.857666,761.954102,260.481506,2336.670654,736.466919,297.688110,2446.811523,730.054321,363.982361,2438.630615,755.409973,349.368164,2317.317871,761.876831,260.734192,2335.967041,736.586853,297.740723,2447.174805,729.866760,364.129883,2438.637451,755.568481,348.922668,2317.512695,716.215759,445.828796,2359.577881,745.276123,226.007141,2393.995605,684.637207,721.565552,2315.343262,708.714600,498.412262,2352.368652,,,
23,0.095833,0.651648,-0.387396,-0.419703,-0.499128,745.887451,317.819580,2384.628174,761.876587,260.397461,2336.471436,736.312134,297.650665,2446.578613,729.951416,363.946960,2438.373779,755.409729,349.283264,2317.088623,761.831909,260.670288,2335.760986,736.395630,297.725922,2446.921143,729.799683,364.074860,2438.386230,755.544556,348.804230,2317.302246,716.110352,445.758514,2359.291260,745.212036,225.980438,2393.824707,684.341614,721.555176,2314.849854,708.762756,498.213348,2352.036377,,,
24,0.100000,0.652019,-0.387044,-0.419290,-0.499263,745.818481,317.769989,2384.394531,761.883179,260.340820,2336.271484,736.166687,297.612549,2446.336914,729.802063,363.905670,2438.109375,755.422119,349.220947,2316.860840,761.843994,260.591583,2335.570068,736.248291,297.698334,2446.650879,729.652832,364.030884,2438.125244,755.550171,348.749268,2317.092041,715.994446,445.666138,2358.932617,745.063721,225.977005,2393.589111,684.310852,721.342957,2314.365967,708.631409,498.132812,2351.693115,,,
25,0.104167,0.652551,-0.386702,-0.418850,-0.499202,745.758240,317.713379,2384.165771,761.913086,260.259888,2336.101807,736.034546,297.592529,2446.108643,729.649658,363.877167,2437.828857,755.435791,349.124084,2316.623779,761.906494,260.496429,2335.380615,736.090515,297.682861,2446.371094,729.513611,364.021729,2437.890625,755.543396,348.638245,2316.847656,715.878235,445.580566,2358.611084,745.035461,225.927155,2393.397949,684.142395,721.240356,2313.884033,708.532898,498.091583,2351.345703,,,
26,0.108333,0.652950,-0.386411,-0.418727,-0.499009,745.666809,317.673950,2383.914795,761.893982,260.208130,2335.889893,735.918335,297.577087,2445.861572,729.490479,363.852875,2437.544434,755.364502,349.057831,2316.363037,761.900513,260.435669,2335.188477,735.962463,297.656433,2446.109131,729.361450,364.009033,2437.624756,755.463074,348.582947,2316.563965,715.828125,445.474030,2358.294922,744.978455,225.864243,2393.154785,683.982544,721.147949,2313.439209,708.451599,498.012848,2350.974121,,,
27,0.112500,0.653790,-0.385931,-0.418096,-0.498810,745.714844,317.557159,2383.642090,762.077576,260.047729,2335.715820,735.867859,297.525696,2445.594482,729.401733,363.786407,2437.187012,755.512207,348.868896,2316.071533,762.104675,260.304993,2334.931152,735.900452,297.598602,2445.828369,729.261536,363.983276,2437.333984,755.614258,348.343597,2316.239990,715.760986,445.475372,2357.959229,745.010742,225.640335,2392.958984,683.862610,721.039185,2313.012695,708.402039,497.926941,2350.596191,,,
28,0.116667,0.654625,-0.385470,-0.417546,-0.498532,745.708374,317.449585,2383.388184,762.204285,259.896332,2335.560059,735.777039,297.485504,2445.348877,729.263184,363.729675,2436.848633,755.588928,348.686981,2315.795410,762.253479,260.113525,2334.680420,735.805969,297.576019,2445.557373,729.106628,363.952606,2437.059570,755.690002,348.165771,2315.950684,715.620911,445.423035,2357.644287,744.952698,225.621399,2392.721191,683.693604,720.958313,2312.560547,708.354553,497.839844,2350.246826,,,
29,0.120833,0.654954,-0.385327,-0.417351,-0.498374,745.648865,317.397797,2383.119385,762.192932,259.823730,2335.332764,735.690979,297.464996,2445.085693,729.156738,363.701874,2436.544434,755.554932,348.600708,2315.514160,762.231873,260.048431,2334.452393,735.727051,297.552887,2445.304932,728.994812,363.922913,2436.742188,755.662354,348.077667,2315.674805,715.575378,445.246246,2357.331787,744.851318,225.602707,2392.474121,683.419067,720.866211,2312.043213,708.202515,497.764282,2349.839355,,,
30,0.125000,0.655271,-0.385114,-0.417376,-0.498101,745.593567,317.354584,2382.851562,762.193420,259.770630,2335.096436,735.636597,297.443573,2444.825195,729.053040,363.671295,2436.250977,755.491211,348.532990,2315.233887,762.231689,259.990692,2334.254395,735.666870,297.505524,2445.091309,728.906311,363.890350,2436.396729,755.591614,348.049622,2315.388672,715.478943,445.145447,2356.996094,744.776550,225.561813,2392.246582,683.209961,720.760254,2311.502441,708.043457,497.707764,2349.425293,,,
31,0.129167,0.655591,-0.384805,-0.417924,-0.497458,745.527527,317.301514,2382.586182,762.196777,259.723419,2334.848145,735.644592,297.403137,2444.575684,728.940735,363.615204,2435.973633,755.327942,348.464417,2314.947021,762.218201,259.950531,2334.044922,735.685791,297.425934,2444.862305,728.787292,363.857849,2436.091797,755.434326,347.997070,2315.098145,715.432373,445.080231,2356.606934,744.717773,225.518600,2392.027588,683.069519,720.618713,2310.973389,707.909424,497.636230,2349.043945,,,
32,0.133333,0.655918,-0.384690,-0.417848,-0.497181,745.468140,317.247681,2382.316406,762.182678,259.647827,2334.620361,735.579346,297.384186,2444.316162,728.840881,363.586914,2435.669189,755.269714,348.371979,2314.659912,762.159607,259.907990,2333.828613,735.657898,297.377228,2444.622559,728.652344,363.850769,2435.764404,755.406006,347.886444,2314.819580,715.266785,445.013702,2356.186035,744.671570,225.486206,2391.811279,683.249695,720.288025,2310.475586,707.725403,497.599915,2348.660645,,,
33,0.137500,0.656196,-0.384911,-0.417284,-0.497116,745.442627,317.182495,2382.051514,762.157227,259.526184,2334.423828,735.498718,297.385498,2444.063721,728.804749,363.583588,2435.347168,755.309875,348.234772,2314.371338,762.110962,259.847595,2333.620361,735.593323,297.368958,2444.377197,728.595459,363.856110,2435.453369,755.470032,347.695618,2314.520508,715.172180,444.915649,2355.776855,744.656372,225.423828,2391.635986,683.128723,720.198364,2310.055176,707.705627,497.425629,2348.279541,,,
34,0.141667,0.656239,-0.385143,-0.417026,-0.497096,745.394287,317.123657,2381.794189,762.085388,259.436890,2334.195068,735.432312,297.360321,2443.814209,728.773438,363.557831,2435.066162,755.286072,348.139679,2314.101074,762.045288,259.782715,2333.433350,735.511963,297.368988,2444.148682,728.597168,363.770081,2435.134766,755.438416,347.585968,2314.265625,715.033264,444.825470,2355.365479,744.761719,225.331055,2391.449219,682.914734,720.142578,2309.584473,707.654724,497.311066,2347.851318,,,
35,0.145833,0.656720,-0.384970,-0.416821,-0.496767,745.310486,317.075928,2381.536865,762.068115,259.356415,2334.000977,735.325195,297.363220,2443.569336,728.627258,363.548157,2434.756592,755.221436,348.036072,2313.821045,761.969360,259.716675,2333.244141,735.463867,297.347443,2443.911377,728.396240,363.784790,2434.800537,755.416077,347.469971,2314.012207,714.997681,444.730774,2355.018066,744.779175,225.259338,2391.299072,682.684570,720.051270,2309.050293,707.592407,497.229340,2347.418701,,,
36,0.150000,0.657001,-0.385041,-0.416424,-0.496674,745.204895,317.040497,2381.270508,761.980469,259.281281,2333.789062,735.177673,297.377350,2443.311768,728.497986,363.556763,2434.443848,755.163330,347.946747,2313.536865,761.918030,259.620728,2333.028809,735.283508,297.386475,2443.599121,728.288940,363.791718,2434.535156,755.333801,347.373596,2313.718994,714.924438,444.644928,2354.652832,744.774414,225.193283,2391.152588,682.370728,719.950745,2308.488037,707.522644,497.137543,2346.979980,,,
37,0.154167,0.657225,-0.385152,-0.415833,-0.496786,745.149780,316.992371,2380.988281,761.932251,259.192566,2333.558838,735.051514,297.374481,2443.032471,728.423340,363.552734,2434.117188,755.192078,347.849823,2313.244873,761.853516,259.567902,2332.819580,735.167114,297.397583,2443.311035,728.205750,363.765686,2434.219482,755.380432,347.236938,2313.417969,714.872070,444.532898,2354.272217,744.753113,225.137375,2390.987793,682.169067,719.871704,2308.004395,707.360046,497.035645,2346.519043,,,
38,0.158333,0.657317,-0.385319,-0.415576,-0.496750,745.068970,316.962860,2380.705322,761.840210,259.134308,2333.307129,734.949646,297.378174,2442.756592,728.348267,363.554657,2433.808350,755.137756,347.784454,2312.949463,761.775391,259.512360,2332.603271,735.046021,297.415833,2443.048340,728.156433,363.731628,2433.905518,755.314941,347.184357,2313.096924,714.909668,444.346863,2353.835938,744.878967,224.942490,2390.811279,681.993103,719.791199,2307.550781,707.256348,496.890747,2346.069580,,,
39,0.162500,0.657633,-0.385442,-0.415178,-0.496568,744.986938,316.924866,2380.429932,761.773621,259.048035,2333.095947,734.832031,297.401520,2442.494629,728.246033,363.570435,2433.479248,755.096130,347.679626,2312.649658,761.696899,259.456818,2332.411621,734.936035,297.447845,2442.757080,728.047424,363.737854,2433.588867,755.286072,347.033203,2312.803711,714.807190,444.290070,2353.416992,744.859863,224.909225,2390.645996,681.805237,719.706909,2307.090820,707.128296,496.823700,2345.641602,,,
40,0.166667,0.658277,-0.385286,-0.414758,-0.496188,744.952881,316.869873,2380.150146,761.819214,258.940002,2332.909424,734.750671,297.423309,2442.231201,728.133606,363.576141,2433.121094,755.108032,347.540192,2312.338379,761.759827,259.315948,2332.188721,734.845337,297.475006,2442.484863,727.939453,363.758179,2433.234131,755.281982,346.913818,2312.515137,714.654297,444.279602,2352.992676,744.811829,224.868317,2390.470215,681.719177,719.525635,2306.530029,707.258118,496.529602,2345.232178,,,
41,0.170833,0.658727,-0.385115,-0.414478,-0.495957,744.895569,316.816772,2379.854492,761.824585,258.856140,2332.674072,734.657288,297.416443,2441.944092,728.014893,363.558563,2432.774902,755.085571,347.436066,2312.025146,761.756775,259.245453,2331.971680,734.757019,297.470642,2442.194580,727.819885,363.729523,2432.880127,755.265747,346.798004,2312.206299,714.484314,444.229462,2352.547607,744.767700,224.834442,2390.253662,681.515015,719.407959,2305.884033,707.075928,496.513763,2344.776611,,,
42,0.175000,0.659804,-0.384451,-0.414225,-0.495251,744.890320,316.733398,2379.553467,762.000671,258.730103,2332.491211,734.608215,297.414062,2441.661133,727.843384,363.527344,2432.374268,755.109070,347.262115,2311.687744,762.016113,259.007172,2331.636475,734.658630,297.487518,2441.887451,727.675354,363.747406,2432.521973,755.230103,346.693115,2311.897461,714.342529,444.191772,2352.146973,744.680664,224.827103,2390.006836,681.325378,719.315674,2305.280518,706.883545,496.506104,2344.299072,,,
43,0.179167,0.660280,-0.384256,-0.413992,-0.494964,744.846619,316.685547,2379.257080,762.025269,258.652283,2332.256348,734.534851,297.413635,2441.374512,727.734558,363.514587,2432.025635,755.091797,347.161835,2311.371338,762.071167,258.916138,2331.380127,734.560425,297.497375,2441.615479,727.591980,363.722198,2432.169189,755.193237,346.609924,2311.574707,714.389343,444.048920,2351.745605,744.585632,224.820786,2389.763184,681.171021,719.236023,2304.744873,706.753052,496.464478,2343.855713,,,
